x        y
704.0559332771375 -16
696.1838151644645 -15
560.3675484768548 -14
553.5973041179057 -13
517.9307963651493 -12
365.27914456337743 -11
243.8189606456844 -10
215.6846832051303 -9
145.96448939005668 -8
99.20134855992995 -7
65.94454919241338 -6
90.87404547398445 6
174.18101445174517 7
181.70282908550328 8
191.77977356835137 9
246.99392523004656 10
380.1158820882824 11
424.77193902632206 12
550.8423151544555 13
597.7709034491116 14
682.2567287322732 15
793.1705797040005 16
749.7849864471905 -16
661.9476764144944 -15
614.700571551101 -14
500.2204482262953 -13
356.1033064175304 -12
372.67867809968635 -11
313.3517382639556 -10
249.85636879598582 -9
157.560839306359 -8
147.57924625807223 -7
156.11078821353507 -6
88.25518477190903 6
155.21446872748348 7
109.58449484113918 8
289.24873230585354 9
291.48633786011004 10
364.96867822649455 11
373.43400315536974 12
538.4781015770144 13
586.4990213414222 14
699.2176836650633 15
753.6451292449705 16
